"HolderAddress","Balance","PendingBalanceUpdate"
"0xd6216fc19db775df9774a6e33526131da7d19a2c","33,925,663,474.663359113842313906","No"
"0xd7ffbe7bc0af46d77670c0ca83a6bc1c77dc0f78","17,400,015,000","No"
"0x446b86a33e2a438f569b15855189e3da28d027ba","4,889,350,464.212094907117483572","No"
"0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88","3,062,850,224.919721693061876547","No"
"0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23","2,373,256,719.61537857744","No"
"0x58edf78281334335effa23101bbe3371b6a36a51","952,666,448.832336568261137537","No"
"0xa5968efb1196651172a337ec44ae2697048b17a8","674,349,458.774","No"
"0x0421875cd12406c90d765b5c68b723733e581a28","621,976,508.2208","No"
"0x9370bb4c0f1da969d988cc9bb92d1cd2e942efa9","500,544,180","No"
"0xd5a3b4519353c37eedbe1d7e795039d7b401a4cb","489,677,813.8","No"
"0x8d81bf8b2d4c44392700e2bea402d185a5ab18bd","443,634,227.02802289","No"
"0xd5dc929ec764ad245afddfa6e24d76ef88403df6","403,840,000.94037907","No"
"0xc8486a349182d02a74baac15e77012199f469768","399,887,000","No"
"0xc005f912eadd141d21176708c4bd138c3c89b294","349,717,301.63449362","No"
"0x63768043160982ac93774974da71c239108b9f5e","303,788,826.0147","No"
"0x875639f1fa2cd6594fa41c1a69b96034d72e95ec","296,043,704.70451379","No"
"0x0be0ad41518f3d60eab9973b8f5d519efd07479d","294,944,949.26","No"
"0x005929745e9ac1523875b288e7f17c02a6eec4bb","280,430,307.523456453132834609","No"
"0x90326902b2011c772c7ebc0e6525defc174c39fa","256,619,253.96691478","No"
"0x4ae4697e1099bacd26c0810a5d412e3f95c0930c","252,794,027.5048","No"
"0x16a457645d6f3e5ea23b25a076f1b5a8fc143ca7","250,464,967.9837","No"
"0x9f551b82b9c5777fecfc2759f9d81ea9bed56bbe","250,000,699.1251464","No"
"0xb1db26b866f3439fd3ae9090a3d643be03795e0c","250,000,000.34","No"
"0xb883185a836e8d26c87799e32dd023a71e8fb06d","244,480,748.6922","No"
"0x493dc5afe867af90548d9284c8747ac96e71f5d5","243,143,870.6569","No"
"0x2907cf3f906daec261d4b0ff50fee887f81af868","214,767,013.48151815","No"
"0x3523c1b65e63c6c07541f2087b5ac756cbb6f462","214,055,997.7198599","No"
"0x67dde338e71389a6f0d56531e47d8d6cc82ab003","200,947,139.23106694","No"
"0xb03f20ebb24336c09ea70d230ea2df5a5df04e16","194,024,794.9803","No"
"0x9927a1974e49743667ced778aed9ab58beb817cc","185,658,483.8338","No"
"0xeda9c67f0c263c8ddab40a99f511bdc19b178944","185,003,224.19","No"
"0x3c50f7abba68262bfef203e65746daca3265620d","176,432,565.845","No"
"0x766a223430eb3729f2ff33468d54bb1b30e971d4","175,432,862.1095","No"
"0xba837385cf1ee8b14a3e649fe49b1add0536be40","166,150,119.6","No"
"0xb4302e7a76b4150631b32a535210d02d5d3ef894","163,286,980.8559","No"
"0x90d74a0158262baf024dc3b351680f86a7fe1e27","162,842,059.64111071","No"
"0x1c5ca12262824170d3a3f5bfd54d4d070df944eb","160,330,560.24","No"
"0x6c771f2c6b3153f8af6523de85c1e43f994033ee","159,082,762.1153","No"
"0x43e4e26d0973c48fc940780e61e0801e89617b7a","158,867,206.75949999","No"
"0x2b423418d29df3346e1b49a12e60b46ab11e9279","153,772,375.48786617","No"
"0x341819a008647d35f1d7e82c6c7b81928a4b5b71","146,348,922.7173","No"
"0x9fd9c5a71cc72c523b2175eb8cefa043225f100a","137,810,233.2","No"
"0x0b92e0982661be12fec1ffdaef537f18c82d7c0f","136,660,314.89063399","No"
"0x7b4c422786e5e9a3999d477c2035e543ffed3675","135,890,964.3","No"
"0xdf55976661763b6f1a9b6eeefc286dfb4c247976","126,723,952.1864","No"
"0xb9b1ee782021c74165499b9a6cdc2e1bd4e5fb59","124,991,465.27","No"
"0x8aeff6a3505a2361766402cc6dc8f727ade4dfc5","116,334,465","No"
"0xb28594ee19101015136dc35c7cd1d894e99b8d8b","114,148,788.5128","No"
"0xf7ff0cc1a8a7d9128ac7aab68ce435228f314a8f","114,001,359.7702","No"
"0x7c7bd49b32bfab23b53ef613e9f733e690eb1506","113,763,098.5042","No"
"0x845d3bfb35e82da3db4065be7452a0430581dd09","113,635,406.57715665","No"
"0x38c74435d61fb6a0a2c892c6da388f74f22a4015","110,892,187.78349721","No"
"0xbaf07cff1ce1a7e3a7e655e0a59e9e22a97341e8","110,869,006.9901","No"
"0xeb6c903d2ce84143e2b32a3bb38273f90e13034d","104,981,744.37332845","No"
"0xacef3beb3600d74eff7e530230a2b8e1e0e3b6b5","104,756,885.1698","No"
"0x25581358df7e95f6b62f4125f2c2655c1003cca9","103,512,924.31308139","No"
"0x8a09d96172c777a119f76557d9f121f679067d37","103,347,339.28","No"
"0x9053b21bc848ae1af0bd3cdf3ec493f019138aa5","103,101,189.6537","No"
"0xcfff72f3c5846dc937e03b671a9cf630d5465ca0","102,860,906.67875276","No"
"0x53ffaf87d3a5d2ed804233a4ab36ba712e396faa","101,748,431.508588631202744925","No"
"0x805f26dbd780b64640b1bfb7c733118ca7aed658","101,431,545.60035263","No"
"0x325fe1d35163fe8258c700dd4c0a60f2806188d4","100,800,000","No"
"0xdf73f80cb10be44f4b10781061e7cd9ae6f0262c","100,723,314.924967","No"
"0x5765545752d705f4943bc417684b2ce1251864ab","100,656,152.61629633","No"
"0x4aa4ed0dfadb684726818a33d027fa0ac84ae8c7","100,000,000","No"
"0x7206c520c447b36652ab5e6bfe82bedc6fd2abde","99,600,251.77","No"
"0x9dd01f80784eeca0eaf7358d2f6b66e0d4bc44f1","99,487,008.4605","No"
"0x49d49390d7c680c2978b9cbcbda55867ff109b29","97,015,448.8448","No"
"0xbbf19c1cda96927b6f48aa57a58d03ab8899a0b2","95,008,879.8","No"
"0xb448dae526397255993fe19805359dffada44f93","91,214,384.74","No"
"0x7f7838a6d8ea8dbc165027912430fed7cb1952cb","89,931,967.45","No"
"0x24a22176cf405bb853656bd2cafe1d1f7993fe57","88,602,830.8203","No"
"0xd67fdd3a5e7f86e954b7718131a3970922be9a59","86,727,809.4579","No"
"0xd05f4dff8f2273eb89e0f3454cdf9039e1b0974a","84,855,329.11865389","No"
"0x50466e71908ef02b19b903f06f30a448fd7da583","83,010,461.7304","No"
"0xac68f4c153e7fce8c2394a88deac4ae271149198","81,824,299.2444","No"
"0x2caf1c01824886284d010e87a187cc39ac4f36d9","80,070,000","No"
"0xfab22788a81d5199e74f8adb04f15ebd4e6ad099","77,868,577.2414","No"
"0xb65e7cc4e540429e8193b1ee47bd7115de1ebba1","77,740,363.368","No"
"0xbfe153148e69ac6660aeb49ff1aee7f52a7553f7","77,170,611.9153","No"
"0xb62067629577494fd67993b35bb76f648db120d7","76,422,518.5004","No"
"0x3b49b8c2eb78a770f87adf1883ed43f94479b3b1","72,777,769.5111255","No"
"0x34ea60cff5322a894659bfc57c75145d14fa5d73","72,525,870.09","No"
"0xa955e81eaed81ceccdbdd5570a12af3e23735600","71,878,560.944928049018055658","No"
"0x586c8cf54a3a690a49313a7140c7681c70db1cae","71,466,463.039","No"
"0xcdccc6c9ce3fef2559e2e90f51f0c59ede2c8ecb","71,318,299.55","No"
"0x34d9e993bb08fcb310c8097c2c3813f9a5054fbc","69,032,963.360642149996228982","No"
"0xf7aab787787631d5d180b54b83747e6654e8f6b6","68,500,000","No"
"0xc7f56a0a769b1889f5566581ca85648aca572087","68,080,633.195","No"
"0x7e001e05f2a8dfa395c2519c5174b8a5cb845c3a","65,372,213.3417","No"
"0x669917038641b13cca1e1667cf3b4d7e7eef43c6","64,769,125.86","No"
"0xb3df6da485fe0c8037c73841d9d2a3c5f3aa0ab2","64,571,668.57635159","No"
"0xa469000432abd01818eb54fda618b8b4d80b17b2","63,379,235.45205044","No"
"0xb5ae2ee87d8666c6fa7452b14c57b6e372b14376","63,000,000.42","No"
"0xcb383363b1423e5e7eacc18c01aab521b1154859","62,904,535.298","No"
"0xaf07588b4c0ba8963011166c9b9e5ba73461ef0b","60,310,637.4476","No"
"0x75414336b9be96614cfcf3e5b42498f6f2dee288","60,273,513.95","No"
"0xbf7616c93574b2893b5ad35ff204b676f87e6a9b","60,171,941.116","No"
"0x6e973302c9d664b30e1da0517ca485fb0a0901f0","59,983,491.62895444","No"
"0xf2b3636139947cb1d5fdf6e083a579f4d314bb2a","58,697,242.8","No"
